央视卫视,#genre#
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源
CCTV1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8$订阅源
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$订阅源
CCTV1,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$订阅源
CCTV1,http://xiaoya.crccxw.top:35455/gaoma/cctv1.m3u8$订阅源
CCTV1,http://39.170.52.236:808/hls/1/index.m3u8$订阅源
CCTV1,http://58.210.168.86:10800/newlive/live/hls/1/live.m3u8$订阅源
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$订阅源
CCTV1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8$订阅源
CCTV1,http://175.31.21.146:4480/hls/1/index.m3u8$订阅源
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8$订阅源
CCTV1,http://36.32.174.67:60080/newlive/live/hls/14/live.m3u8$订阅源
CCTV1,http://219.135.180.210:18888/hls/1/index.m3u8$订阅源
CCTV1,http://183.94.1.118:8801/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://182.91.124.60:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV1,http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8?$订阅源
CCTV1,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8$订阅源
CCTV2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8$订阅源
CCTV2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8$订阅源
CCTV2,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv2_1_ud.m3u8$订阅源
CCTV2,http://58.19.43.46:9901/tsfile/live/1021_1.m3u8$订阅源
CCTV2,http://xiaoya.crccxw.top:35455/gaoma/cctv2.m3u8$订阅源
CCTV2,http://39.170.52.236:808/hls/2/index.m3u8$订阅源
CCTV2,http://58.210.168.86:10800/newlive/live/hls/2/live.m3u8#rtsp://118.212.169.134/PLTV/88888888/224/3221227231/10000100000000060000000000680051_0.smil$订阅源
CCTV2,http://116.9.204.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$订阅源
CCTV2,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8$订阅源
CCTV2,http://175.31.21.146:4480/hls/2/index.m3u8$订阅源
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8$订阅源
CCTV2,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8$订阅源
CCTV2,http://219.135.180.210:18888/hls/2/index.m3u8$订阅源
CCTV2,http://183.94.1.118:8801/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://182.91.124.60:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV2,http://60.223.224.176:8888/newlive/live/hls/3/live.m3u8$订阅源
CCTV2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://116.128.243.121:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8$订阅源
CCTV3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8$订阅源
CCTV3,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8?b=200-1200$订阅源
CCTV3,http://39.170.52.236:808/hls/3/index.m3u8$订阅源
CCTV3,http://58.210.168.86:10800/newlive/live/hls/3/live.m3u8$订阅源
CCTV3,http://116.9.204.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
